title,author,primary_isbn10,primary_isbn13,bought_by
1964,Paul McCartney,1324093064,9781324093060,Petes_team
21ST BIRTHDAY,James Patterson and Maxine Paetro,1538752867,9781538752869,Petes_team
8 RULES OF LOVE,Jay Shetty,1982183063,9781982183066,Petes_team
A DAY OF FALLEN NIGHT,Samantha Shannon,1635577926,9781635577921,Petes_team
A DAY WITH NO WORDS,Tiffany Hammond.,1736949799,9781736949795,Jakes_team
A FLICKER IN THE DARK,Stacy Willingham,1250896444,9781250896445,Petes_team
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,1984896393,9781984896391,Petes_team
A HORSE NAMED SKY,Rosanne Parry.,0062995952,9780062995957,Petes_team
ALL ABOUT LOVE,bell hooks,0060959479,9780060959470,Petes_team
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,1501173219,9781501173219,Jakes_team
A LONG WALK TO WATER,Linda Sue Park,0547577311,9780547577319,Jakes_team
AMERICAN PROMETHEUS,Kai Bird and Martin J. Sherwin,0375726268,9780375726262,Petes_team
AMERICAN PROMETHEUS,Kai Bird and Martin J. Sherwin,,9781483077345,Jakes_team
APPLES NEVER FALL,Liane Moriarty,1250894220,9781250894229,Petes_team
ASSISTANT TO THE VILLAIN,Hannah Nicole Maehrer,1649375808,9781649375803,Jakes_team
ASTOR,Anderson Cooper and Katherine Howe,0062964704,9780062964700,Petes_team
A STUDY IN DROWNING,Ava Reid,0063211505,9780063211506,Jakes_team
ATOMIC HABITS,James Clear,0735211299,9780735211292,Jakes_team
BAKING YESTERYEAR,B. Dylan Hollis,0744080045,9780744080049,Jakes_team
BEAUTIFUL,Danielle Steel,1984821660,9781984821669,Jakes_team
BECAUSE I HAD A TEACHER,Kobi Yamada.,1943200084,9781943200085,Jakes_team
BECOMING,Michelle Obama,1524763144,9781524763145,Petes_team
BEING HENRY,Henry Winkler with James Kaplan,1250888093,9781250888099,Petes_team
BETTER THAN THE MOVIES,Lynn Painter,1534467637,9781534467637,Petes_team
BETTING ON YOU,Lynn Painter,None,9781665951166,Petes_team
BE USEFUL,Arnold Schwarzenegger,0593655958,9780593655955,Jakes_team
BEYOND THE STORY,BTS and Myeongseok Kang,1250326753,9781250326751,Jakes_team
BIG HEART LITTLE STOVE,Erin French with Rachel Holtzman,1250832314,9781250832313,Jakes_team
BLOODMARKED,Tracy Deonn,1534441638,9781534441637,Petes_team
BOOKSHOPS & BONEDUST,Travis Baldree,1250886104,9781250886101,Jakes_team
BRAIDING SWEETGRASS,Robin Wall Kimmerer,1571313567,9781571313560,Petes_team
BUILD THE LIFE YOU WANT,Arthur C. Brooks and Oprah Winfrey,0593545400,9780593545409,Jakes_team
BUILT TO MOVE,Kelly Starrett and Juliet Starrett,0593534808,9780593534809,Petes_team
